"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/10/29","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","ELWYdfvv6H5GahKEegvyH5LjNgrl1BvPskFpvKpXZlo"
"1","2025/10/29","ローソン　オオス１チヨウメ","-695","JCBカード","食費","食費_スーパー以外","","0","eBjmIBA-KqxjAXO9BKH3WZYnxLAZEZzI4Ka8WzyMKWk"
"1","2025/10/29","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","-1999","JCBカード","日用品","生活変動費_食品除","","0","a49kkn5cAxQqvHvxU1mJSAmlYIUKL2iiOYLkR0krixU"
"1","2025/10/27","ＧＯＯＧＬＥ　＊ｃｏｍ　ｅｆｕｎ　ｊｐｍ","-160","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","67RS8-YTzgDRM28Zs_SS51N6YGTdeHgOOf8ILGjFPYA"
"1","2025/10/27","口座振替3 DF.レグリオヤチン","-38350","三菱UFJ銀行","住宅","住宅固定費","","0","LAM7APotXyjyiZTuPGgwsQQRa50BJnZtoszmAm9wBpY"
"1","2025/10/27","口座振替3 カクテイキヨシユツカケキ","-23000","三菱UFJ銀行","住宅","住宅固定費","","0","fE0-uZ_gB6pKVVCM9qdCVs2HjqiaXwh5BAuIL32q6FY"
"1","2025/10/25","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","47qzTgNAG2Orjd9CcUrbUqNLxdVfSkOHEXeMvc1hHwM"
"1","2025/10/25","カードC1","-10000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","eq9WXVpO11KpCGKi4o5mlNmt3O6Hp09KvyoCID39r8M"
"1","2025/10/24","ドンキユニー　ヒショクヒン","-1530","JCBカード","食費","食費_スーパー以外","","0","ny9cuXl1YBeMucMesHbAzDcTkEugcyqZPy8snR0Br3w"
"1","2025/10/24","ディ－エルサイト","-468","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","MgMZeg4179gafmzcljjCNLOQ9wVIflCclOiPvX3FHeg"
"1","2025/10/23","セブン－イレブン名古屋栄１丁目店","-116","JCBカード","食費","食費_スーパー以外","","0","VtgtarwZ-02vV6I03JP8FIbU_uW9o5ySBD618zEqqos"
"1","2025/10/23","Ａｍａｚｏｎプライム会費","-600","JCBカード","趣味・娯楽","趣味等・継続課金","","0","vxHyjt7FJc0QW2btDUgmP7db7fLNV7Eaf8yNHMkp0RQ"
"1","2025/10/22","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","CW9CxtQdsOcQZLQbEvBTmqBn1E9GeFIlueoozWiUdbs"
"1","2025/10/22","ＧＯＯＧＬＥ　＊ｃｏｍ　ｔ２ｋ　ｐｒｏｍ","-450","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","ICPhsZMaSCB_HyEjtBXh7h8hQpEUwrlGS_ZRyPQ8Gyk"
"1","2025/10/22","ドンキユニー　ヒショクヒン","-990","JCBカード","食費","食費_スーパー以外","","0","-YFfPPz9CVBJKA5q7sI3mYu0Ru3a9Y8JdNG1flmgl2Y"
"1","2025/10/22","Ｄラボ","-989","JCBカード","趣味・娯楽","趣味等・継続課金","","0","jfYLKclCV2pApi3UJD7zi_TaeCIUOH79qrtnBRDPiQ8"
"1","2025/10/21","ＧＯＯＧＬＥ　＊ｃｏｍ　ｔ２ｋ　ｐｒｏｍ","-750","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","PSsOYUHadYdC4kgfWJwZ8cfaYhOXvYjkOKnFfAr8uus"
"1","2025/10/20","ドンキユニー　ヒショクヒン","-990","JCBカード","食費","食費_スーパー以外","","0","obLUjK4sRwPBTZDSGog-unYyYT_ie9z96qZ4HMC-0jU"
"1","2025/10/20","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＧＯＯＧＬ","-2900","JCBカード","趣味・娯楽","趣味等・継続課金","","0","xJfKb9nMiFcvR09BZUPVthOb4BWINhnT0wq0X6WeSJc"
"1","2025/10/19","グローバルゲート","-843","JCBカード","日用品","生活変動費_食品除","","0","YCYehYk2zyBMHZpy2ztETtsAYO1lP2IFgfw9H0NE_vY"
"1","2025/10/19","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","4PXir1cCJ67cNXm3MR_hokYOM80m0p6QUPVCk6sd_nI"
"1","2025/10/19","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-2006","JCBカード","日用品","生活変動費_食品除","","0","W-rqV26mGjEq7xbW9FaMIsNNSwoKE3bj-kW0mbool0I"
"1","2025/10/19","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＹＯＵＴＵ","-1280","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","2v_ieK2fbhQS5Vy97YeCHhoU03E66JINXi7bd2w_OTs"
"1","2025/10/17","セブン－イレブン名古屋栄１丁目店","-116","JCBカード","食費","食費_スーパー以外","","0","P8dwUiYuG0HioZvDuJWMi1cUl95kp3t7fVRZruvpjVQ"
"1","2025/10/16","ローソン　メイエキナヤバシ","-869","JCBカード","食費","食費_スーパー以外","","0","9YLj2J2S8gWAis7TUmXSvO0VnINVRqgj_F_FdarawSI"
"1","2025/10/16","ＧＯＯＧＬＥ　＊ｃｏｍ　ｔ２ｋ　ｐｒｏｍ","-750","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","7dYrlnvBAVrbvm8QLNMy_8qMDVd27mccFHykOtzbl7w"
"1","2025/10/16","Ｄラボ","-989","JCBカード","趣味・娯楽","趣味等・継続課金","","0","1bnv49ekqA3JYkJog-xZLkCVXnvV89036zQmVBAPNxs"
"1","2025/10/15","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","JjSFbftI16EhzO4V9W3Q8HH852ocNv5tV0PiBjsNfoQ"
"1","2025/10/14","東邦ガス　１０月　２０６９７９６６１７","-11956","JCBカード","住宅","住宅固定費","","0","jpcttuFt1EBYI5BbqWq1gHZd7U80fZ1CxJ-olzGQPnc"
"1","2025/10/14","名古屋プレミアム付き商品券","-30000","JCBカード","食費","食費_スーパー","","0","XH26JzLg-3h6V49U5Tiz_gXWlqm9zkzZcklxLXIeA3M"
"1","2025/10/14","Ｄラボ","-879","JCBカード","趣味・娯楽","趣味等・継続課金","","0","cS1VVLKk-noi_5BskD9i9taQ2ct-Lsx-WBl9HX7jcx8"
"1","2025/10/14","Ｄラボ","-879","JCBカード","趣味・娯楽","趣味等・継続課金","","0","F2uw44sVKFMxezBmHGxrdfrUHVju0fsTK7GGDKyvt2w"
"1","2025/10/13","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","8MpsxWYhIrvoFk0pnNWSphrvknmr-VBYTrzGMRQRBeo"
"1","2025/10/13","Ｖドラッグ大須店","-523","JCBカード","日用品","生活変動費_食品除","","0","ZkIDwHAAkq7H79v0JLC2vhzBIPfaURfpl91EU8iZnGk"
"1","2025/10/13","ＪＲ東日本モバイルＳｕｉｃａ","-1000","JCBカード","日用品","生活変動費_食品除","","0","BaY2FZfKZs4tT3jitPxsD1NoeBNhGdaWAq5yKUoGBmc"
"1","2025/10/13","セブン－イレブン名古屋千代田１丁目店","-116","JCBカード","食費","食料品","","0","L5BeVtfScDZWKM-z2rb7CzCMcnw5MLQi7M_ozNGvdpM"
"1","2025/10/13","カ-ド","-10000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","2qEd00kB3ceuvCCqVOsUgUJBJ6oJ6UDFJFsAg2ngVpw"
"1","2025/10/12","ヤマナカ／フランテ","-3048","JCBカード","食費","食費_スーパー","","0","5v-f823hlzPA1To7W_I8lGFeuI7WNWVtceO0v6bruE8"
"1","2025/10/11","ひだまりこころクリニックサンシャインサカ","-1330","JCBカード","日用品","生活変動費_食品除","","0","7QCntCnR4f0o_MmNByVxc14UPGgLapyhs4mo1ype_uc"
"1","2025/10/11","松井証券株式会社","-100000","JCBカード","住宅","住宅固定費","","0","X6stvw-IEQBZdK-sHoYYnGoLSVYzpbONheycWtkwiIs"
"1","2025/10/11","おひさま薬局サンシャインサカエ店","-1900","JCBカード","日用品","生活変動費_食品除","","0","FNfVAI0X_PHkZ_WYtIiTBeYLolxgNcOWzijM-yvM8_Y"
"1","2025/10/10","ドンキユニー　ヒショクヒン","-1500","JCBカード","食費","食費_スーパー以外","","0","G15dg68yl75hzP1eg2vgP2Sv2-v8m9ROzF-SHrjzuZ8"
"0","2025/10/10","JCB JCBカ-ド","-236986","三菱UFJ銀行","現金・カード","カード引き落とし","","1","7rpeDACSu5iTbq6yCaLvpGfJbq5VZV2U-WoAc7fY2Lg"
"1","2025/10/09","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","-4705","JCBカード","日用品","生活変動費_食品除","","0","4oA1HH-_sALj8RoBgxY7YiN37Erk1u1WY3w0WsJvaXI"
"1","2025/10/08","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","Aalh3cRhl_mZe5HouAV4j_BGPb6u4LOLqqgOiP9Xalw"
"1","2025/10/08","セブン－イレブン名古屋栄１丁目店","-116","JCBカード","食費","食費_スーパー以外","","0","5383tKFGdm2Cy5nAanQ5VIXRPlHiVG1N6wguuQyWYtI"
"1","2025/10/08","ヤマナカ／フランテ","-2893","JCBカード","食費","食費_スーパー","","0","ALSwvr7AecOgvUorXWkEuUzv69OQ5IWXTRQGdSwTjhw"
"1","2025/10/05","コインランドリー精算機〔ＪＭＭＳ〕","-1200","JCBカード","住宅","住宅固定費","","0","Vrdig6VyFg2-vFak2c1pn6oGi3XrJ1z4wlZq3mijaRo"
"1","2025/10/05","ワークマン","-2900","JCBカード","日用品","生活変動費_食品除","","0","D65s2obcO547zwj6XA_3cdTJh60uCemoKB6-8cel6rY"
"1","2025/10/04","ＮＥＷＮＥＰＡＫＩＴＣＨＥＮ","-1180","JCBカード","食費","食費_スーパー以外","","0","VW2sUndjGhQGAmb2EDDq0JaDR6YS7DuWvZjUjtTdl7w"
"1","2025/10/04","ヤマナカ／フランテ","-3025","JCBカード","食費","食費_スーパー","","0","GpaLtCCemvECa64GfywecGYdtmOc0Q2GMQ8V3q33CbE"
"1","2025/10/04","カ-ド","-10000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","633IiNnrYpDdGybsd0-eSrHAxyQGmT5fLlOWq1vcH2o"
"1","2025/10/03","ドンキユニー　ヒショクヒン","-990","JCBカード","食費","食費_スーパー以外","","0","4VoSP6x1yZ-2gespzecJYcqcFvLK_PvkolOEF4nFIKg"
"1","2025/10/02","フアミリ－マ－トナゴヤサカエイツチヨウメ","-938","JCBカード","食費","食費_スーパー以外","","0","4jGOMk2BTrQDn0uih4FQF0LuIL2WzHBM5cOiuw0XQ1A"
"1","2025/10/02","セブン－イレブン名古屋栄１丁目店","-851","JCBカード","食費","食費_スーパー以外","","0","c4iVjmIx5KQvE070zYtms3B2F74qwWWRtq3ABoOuqDs"
"1","2025/10/02","ＰＡＹＰＡＬ　＊ＧＯＯＧＬＥ　ＭＯＮＥＹ","-590","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","dW3f4exgf8iThPY1Y54NnQRVnSCMgxMDUvoa7PfGph0"
"1","2025/10/01","AMAZON DOWNLOADS WWW.AMAZON.CO","-980","JCBカード","趣味・娯楽","趣味等・逐次課金","","0","cFzaOQy8ZtzT-xj38EHe6n83LHCQaw0PdcaxzzYXoHs"
"1","2025/10/01","ＢＡＳＥ","-4780","JCBカード","食費","食費_スーパー","","0","i5hC1zOuAYuOt3Oi_1kuSM7SanS0AEBUeOTdDZh8yb8"
"1","2025/10/01","Ｄラボ","-1319","JCBカード","趣味・娯楽","趣味等・継続課金","","0","oljw2Eeio2Ay68Lc2OefeFW1alSBxio7YArbn0beE6g"
